Identificador del sitio,Fecha,Clave WRB 2014,Grupo suelo,Altitud,Precipitacion media anual,Temperatura media anual,Cobertura de la tierra,PH,Carbon organico,saturacion de bases,Saturacion de sodio,Potasio,Calcio,Sodio,Magnesio,Fosfatos
D1403-205,26/10/2004,"FLje(arp,lo)/1",Fluvisol,10,1000,26,Agricultura,6.8,0.2,100.0,1.5,1.6,3.0,0.1,0.7,8.1
D1403-205,26/10/2004,"FLje(arp,lo)/1",Fluvisol,10,1000,26,Agricultura,7.0,0.1,73.1,1.3,0.9,1.8,0.1,0.5,13.7
D1403-205,26/10/2004,"FLje(arp,lo)/1",Fluvisol,10,1000,26,Agricultura,6.9,0.2,98.2,1.2,1.2,3.5,0.1,0.9,0.0
D1403-205,26/10/2004,"FLje(arp,lo)/1",Fluvisol,10,1000,26,Agricultura,6.7,0.3,99.7,0.9,1.7,4.1,0.1,1.0,0.0
D1403-205,26/10/2004,"FLje(arp,lo)/1",Fluvisol,10,1000,26,Agricultura,6.7,0.2,100.0,1.3,1.8,4.9,0.1,0.9,0.0
D1403-205,26/10/2004,"FLje(arp,lo)/1",Fluvisol,10,1000,26,Agricultura,6.8,0.1,100.0,2.8,1.1,2.1,0.1,0.4,0.0
D1403-206,26/10/2004,"LVap-cr(arp,lon)/1",Luvisol,30,1000,26,Selva subcaducifolia,5.0,0.1,84.7,6.0,0.7,0.2,0.1,0.3,6.8
D1403-206,26/10/2004,"LVap-cr(arp,lon)/1",Luvisol,30,1000,26,Selva subcaducifolia,4.9,0.2,12.7,0.4,0.8,0.5,0.1,0.3,2.1
D1403-206,26/10/2004,"LVap-cr(arp,lon)/1",Luvisol,30,1000,26,Selva subcaducifolia,5.8,0.1,50.3,1.9,0.7,0.6,0.1,0.2,0.0
D1403-206,26/10/2004,"LVap-cr(arp,lon)/1",Luvisol,30,1000,26,Selva subcaducifolia,6.2,0.1,55.5,1.4,1.0,1.6,0.1,0.4,0.0
D1403-206,26/10/2004,"LVap-cr(arp,lon)/1",Luvisol,30,1000,26,Selva subcaducifolia,6.4,0.1,65.3,1.8,1.1,1.1,0.1,0.4,0.0
D1403-207,26/10/2004,"RGpr-je(arn,loa)/1",Regosol,125,1000,26,Selva subcaducifolia,5.6,1.1,65.2,0.5,2.9,4.4,0.1,1.2,30.2
D1403-207,26/10/2004,"RGpr-je(arn,loa)/1",Regosol,125,1000,26,Selva subcaducifolia,6.1,0.3,76.0,1.4,3.2,1.7,0.1,0.6,12.9
D1403-207,26/10/2004,"RGpr-je(arn,loa)/1",Regosol,125,1000,26,Selva subcaducifolia,6.0,0.2,72.8,1.3,2.2,1.5,0.1,0.5,0.0
D1403-207,26/10/2004,"RGpr-je(arn,loa)/1",Regosol,125,1000,26,Selva subcaducifolia,5.9,0.1,73.4,2.4,0.9,2.1,0.1,0.6,0.0
D1403-207,26/10/2004,"RGpr-je(arn,loa)/1",Regosol,125,1000,26,Selva subcaducifolia,6.1,0.0,97.8,2.4,0.8,2.2,0.1,0.5,0.0
D1403-208,28/10/2004,ARpr-je(oh)/1,Arenosol,10,1000,26,Pastizal cultivado,6.2,0.4,100.0,1.1,3.1,0.0,0.1,0.6,60.5
D1403-208,28/10/2004,ARpr-je(oh)/1,Arenosol,10,1000,26,Pastizal cultivado,5.7,0.3,72.4,0.9,1.6,3.9,0.1,1.1,0.0
D1403-208,28/10/2004,ARpr-je(oh)/1,Arenosol,10,1000,26,Pastizal cultivado,5.9,0.2,70.3,0.7,1.3,4.0,0.1,1.1,0.0
D1403-208,28/10/2004,ARpr-je(oh)/1,Arenosol,10,1000,26,Pastizal cultivado,6.1,0.1,100.0,1.8,1.0,0.0,0.1,0.6,0.0
D1403-208,28/10/2004,ARpr-je(oh)/1,Arenosol,10,1000,26,Pastizal cultivado,6.3,0.1,100.0,1.9,0.9,0.0,0.1,0.8,0.0
D1403-208,28/10/2004,ARpr-je(oh)/1,Arenosol,10,1000,26,Pastizal cultivado,6.2,0.0,100.0,4.5,0.8,0.0,0.1,0.4,0.0
D1403-208,28/10/2004,ARpr-je(oh)/1,Arenosol,10,1000,26,Pastizal cultivado,6.3,0.0,69.4,8.9,0.1,0.6,0.2,0.4,0.0
D1403-301,09/09/2013,RGlen-eu(ara)/1,Regosol,343,1000,26,Pastizal,5.7,1.2,53.0,3.0,0.3,3.9,0.3,0.8,6.3
D1403-301,09/09/2013,RGlen-eu(ara)/1,Regosol,343,1000,26,Pastizal,6.1,0.7,51.0,3.9,0.2,3.3,0.3,0.6,1.0
D1403-301,09/09/2013,RGlen-eu(ara)/1,Regosol,343,1000,26,Pastizal,7.1,0.1,70.0,4.1,0.2,5.1,0.4,0.6,0.0
D1403-302,10/09/2013,"ALcr(cea,ct,hu)/3",Alisol,1237,1500,26,Bosque de encino,6.2,3.9,24.0,2.2,0.5,4.2,0.7,1.7,0.1
D1403-302,10/09/2013,"ALcr(cea,ct,hu)/3",Alisol,1237,1500,26,Bosque de encino,5.9,0.6,12.0,1.7,0.3,1.9,0.6,1.4,0.1
D1403-302,10/09/2013,"ALcr(cea,ct,hu)/3",Alisol,1237,1500,26,Bosque de encino,5.8,0.2,12.0,1.8,0.2,1.3,0.5,1.5,0.0
D1403-302,10/09/2013,"ALcr(cea,ct,hu)/3",Alisol,1237,1500,26,Bosque de encino,6.1,0.0,14.0,2.2,0.1,0.8,0.6,1.9,0.0
D1403-303,11/09/2013,"LVlen(df,lo)/2",Luvisol,176,1000,26,Selva caducifolia,6.6,2.0,51.0,2.1,0.3,7.1,0.4,1.0,1.6
D1403-303,11/09/2013,"LVlen(df,lo)/2",Luvisol,176,1000,26,Selva caducifolia,7.2,0.5,56.0,2.3,0.1,8.8,0.4,0.7,0.4
D1403-303,11/09/2013,"LVlen(df,lo)/2",Luvisol,176,1000,26,Selva caducifolia,7.6,0.3,63.0,3.6,0.1,8.1,0.5,0.2,0.2
D1403-304,12/09/2013,"ALro(cee,ct)/3",Alisol,322,2000,24,Selva subcaducifolia,6.8,0.8,49.0,1.4,0.7,9.3,0.4,4.1,0.5
D1403-304,12/09/2013,"ALro(cee,ct)/3",Alisol,322,2000,24,Selva subcaducifolia,7.2,0.9,22.6,1.1,0.2,3.5,0.3,2.1,0.1
D1403-304,12/09/2013,"ALro(cee,ct)/3",Alisol,322,2000,24,Selva subcaducifolia,7.0,0.5,18.7,1.1,0.1,2.9,0.4,2.5,0.0
D1403-304,12/09/2013,"ALro(cee,ct)/3",Alisol,322,2000,24,Selva subcaducifolia,7.1,0.3,24.7,1.6,0.1,2.6,0.4,2.8,0.0
D1403-304,12/09/2013,"ALro(cee,ct)/3",Alisol,322,2000,24,Selva subcaducifolia,7.6,0.5,23.5,1.0,0.1,2.5,0.3,3.4,0.0
